year,week,start_wk,count,weeklyCountCum,weeklyPercentageCum,start_wk_date,wk_start_dayOfYear
1978,26,27/06/1978,11,2458,99.91869918699187,1978-06-27T00:00:00Z,178
1978,27,04/07/1978,2,2460,100,1978-07-04T00:00:00Z,185
1979,14,03/04/1979,4,4,0.21810250817884408,1979-04-03T00:00:00Z,93
1979,15,10/04/1979,14,18,0.9814612868047983,1979-04-10T00:00:00Z,100
1979,16,16/04/1979,21,39,2.1264994547437297,1979-04-16T00:00:00Z,106
1979,17,24/04/1979,35,74,4.0348964013086155,1979-04-24T00:00:00Z,114
1979,18,30/04/1979,60,134,7.306434023991276,1979-04-30T00:00:00Z,120
1979,19,07/05/1979,260,394,21.483097055616142,1979-05-07T00:00:00Z,127
1979,20,14/05/1979,309,703,38.331515812431846,1979-05-14T00:00:00Z,134
1979,21,21/05/1979,382,1085,59.16030534351145,1979-05-21T00:00:00Z,141
1979,22,28/05/1979,323,1408,76.77208287895311,1979-05-28T00:00:00Z,148
1979,23,04/06/1979,99,1507,82.1701199563795,1979-06-04T00:00:00Z,155
1979,24,11/06/1979,170,1677,91.43947655398037,1979-06-11T00:00:00Z,162
1979,25,18/06/1979,124,1801,98.20065430752453,1979-06-18T00:00:00Z,169
1979,26,26/06/1979,9,1810,98.69138495092693,1979-06-26T00:00:00Z,177
1979,27,02/07/1979,11,1821,99.29116684841875,1979-07-02T00:00:00Z,183
1979,28,09/07/1979,10,1831,99.83642311886587,1979-07-09T00:00:00Z,190
1979,29,20/07/1979,3,1834,100,1979-07-20T00:00:00Z,201
1980,14,01/04/1980,7,7,0.05629724947723983,1980-04-01T00:00:00Z,92
1980,15,07/04/1980,41,48,0.38603828212964453,1980-04-07T00:00:00Z,98
1980,16,14/04/1980,106,154,1.2385394884992762,1980-04-14T00:00:00Z,105
1980,17,21/04/1980,83,237,1.90606401801512,1980-04-21T00:00:00Z,112
1980,18,28/04/1980,486,723,5.81470162457777,1980-04-28T00:00:00Z,119
1980,19,05/05/1980,1216,1939,15.594338105195432,1980-05-05T00:00:00Z,126
1980,20,12/05/1980,6783,8722,70.14637284864082,1980-05-12T00:00:00Z,133
1980,21,19/05/1980,1943,10665,85.77288081068039,1980-05-19T00:00:00Z,140
1980,22,26/05/1980,937,11602,93.30866977641949,1980-05-26T00:00:00Z,147
1980,23,02/06/1980,830,12432,99.98391507157794,1980-06-02T00:00:00Z,154
1980,24,14/06/1980,2,12434,100,1980-06-14T00:00:00Z,166
1981,14,02/04/1981,16,16,0.14825796886582654,1981-04-02T00:00:00Z,92
1981,15,06/04/1981,70,86,0.7968865826538176,1981-04-06T00:00:00Z,96
1981,16,13/04/1981,80,166,1.5381764269829503,1981-04-13T00:00:00Z,103
1981,17,20/04/1981,496,662,6.134173461823573,1981-04-20T00:00:00Z,110
1981,18,27/04/1981,2098,2760,25.57449962935508,1981-04-27T00:00:00Z,117
1981,19,04/05/1981,4150,6910,64.02891030392882,1981-05-04T00:00:00Z,124
1981,20,11/05/1981,2232,9142,84.71089696071164,1981-05-11T00:00:00Z,131
1981,21,18/05/1981,1605,10747,99.58302446256486,1981-05-18T00:00:00Z,138
1981,22,25/05/1981,31,10778,99.8702742772424,1981-05-25T00:00:00Z,145
1981,23,01/06/1981,14,10792,100,1981-06-01T00:00:00Z,152
1982,13,01/04/1982,9,9,0.07008254166017754,1982-04-01T00:00:00Z,91
1982,14,05/04/1982,24,33,0.256969319420651,1982-04-05T00:00:00Z,95
1982,15,15/04/1982,2,35,0.2725432175673571,1982-04-15T00:00:00Z,105
1982,16,20/04/1982,192,227,1.7676374396511447,1982-04-20T00:00:00Z,110
1982,17,26/04/1982,797,1024,7.973835851113534,1982-04-26T00:00:00Z,116
1982,18,03/05/1982,996,2020,15.729637128173183,1982-05-03T00:00:00Z,123
1982,19,10/05/1982,4438,6458,50.28811711571406,1982-05-10T00:00:00Z,130
1982,20,17/05/1982,4587,11045,86.00685251518455,1982-05-17T00:00:00Z,137
1982,21,24/05/1982,833,11878,92.49338109328765,1982-05-24T00:00:00Z,144
1982,22,31/05/1982,710,12588,98.02211493536832,1982-05-31T00:00:00Z,151
1982,23,07/06/1982,64,12652,98.52047967606292,1982-06-07T00:00:00Z,158
1982,24,15/06/1982,43,12695,98.8553184862171,1982-06-15T00:00:00Z,166
1982,25,21/06/1982,50,12745,99.24466593988475,1982-06-21T00:00:00Z,172
1982,26,28/06/1982,74,12819,99.82090017131287,1982-06-28T00:00:00Z,179
1982,27,06/07/1982,13,12832,99.92213050926647,1982-07-06T00:00:00Z,187
1982,28,14/07/1982,10,12842,100,1982-07-14T00:00:00Z,195
1983,13,02/04/1983,2,2,0.1303780964797914,1983-04-02T00:00:00Z,92
1983,14,07/04/1983,9,11,0.7170795306388527,1983-04-07T00:00:00Z,97
1983,15,12/04/1983,50,61,3.9765319426336374,1983-04-12T00:00:00Z,102
1983,16,18/04/1983,282,343,22.359843546284225,1983-04-18T00:00:00Z,108
1983,17,25/04/1983,185,528,34.419817470664924,1983-04-25T00:00:00Z,115
1983,18,02/05/1983,544,1072,69.88265971316818,1983-05-02T00:00:00Z,122
1983,19,09/05/1983,232,1304,85.00651890482399,1983-05-09T00:00:00Z,129
1983,20,16/05/1983,40,1344,87.61408083441981,1983-05-16T00:00:00Z,136
1983,21,23/05/1983,112,1456,94.91525423728814,1983-05-23T00:00:00Z,143
1983,22,30/05/1983,59,1515,98.76140808344198,1983-05-30T00:00:00Z,150
1983,23,06/06/1983,13,1528,99.60886571056062,1983-06-06T00:00:00Z,157
1983,24,15/06/1983,6,1534,100,1983-06-15T00:00:00Z,166
1984,13,01/04/1984,3,3,0.04315925766076824,1984-04-01T00:00:00Z,92
1984,14,03/04/1984,18,21,0.3021148036253776,1984-04-03T00:00:00Z,94
1984,15,09/04/1984,90,111,1.5968925334484247,1984-04-09T00:00:00Z,100
1984,16,16/04/1984,101,212,3.0499208746942887,1984-04-16T00:00:00Z,107
1984,17,23/04/1984,226,438,6.301251618472162,1984-04-23T00:00:00Z,114
1984,18,30/04/1984,401,839,12.07020572579485,1984-04-30T00:00:00Z,121
1984,19,07/05/1984,895,1734,24.94605092792404,1984-05-07T00:00:00Z,128
1984,20,14/05/1984,2059,3793,54.5676881024313,1984-05-14T00:00:00Z,135
1984,21,21/05/1984,2314,6107,87.85786217810387,1984-05-21T00:00:00Z,142
1984,22,28/05/1984,750,6857,98.64767659329593,1984-05-28T00:00:00Z,149
1984,23,04/06/1984,58,6915,99.48208890807078,1984-06-04T00:00:00Z,156
1984,24,12/06/1984,25,6940,99.84174938857718,1984-06-12T00:00:00Z,164
1984,25,18/06/1984,6,6946,99.92806790389872,1984-06-18T00:00:00Z,170
1984,26,30/06/1984,1,6947,99.94245432311898,1984-06-30T00:00:00Z,182
1984,28,09/07/1984,4,6951,100,1984-07-09T00:00:00Z,191
1985,14,02/04/1985,82,82,1.239981853924089,1985-04-02T00:00:00Z,92
1985,15,09/04/1985,15,97,1.4668078028126417,1985-04-09T00:00:00Z,99
1985,16,16/04/1985,35,132,1.996068350219265,1985-04-16T00:00:00Z,106
1985,17,22/04/1985,142,274,4.143353999697565,1985-04-22T00:00:00Z,112
1985,18,29/04/1985,210,484,7.318917284137305,1985-04-29T00:00:00Z,119
1985,19,06/05/1985,2561,3045,46.04566762437623,1985-05-06T00:00:00Z,126
1985,20,13/05/1985,3143,6188,93.573264781491,1985-05-13T00:00:00Z,133
1985,21,20/05/1985,395,6583,99.5463481022229,1985-05-20T00:00:00Z,140
1985,22,27/05/1985,21,6604,99.86390443066688,1985-05-27T00:00:00Z,147
1985,23,04/06/1985,9,6613,100,1985-06-04T00:00:00Z,155
1986,14,01/04/1986,10,10,0.7374631268436578,1986-04-01T00:00:00Z,91
1986,15,09/04/1986,9,19,1.4011799410029497,1986-04-09T00:00:00Z,99
1986,16,15/04/1986,9,28,2.0648967551622417,1986-04-15T00:00:00Z,105
1986,17,21/04/1986,218,246,18.141592920353983,1986-04-21T00:00:00Z,111
1986,18,28/04/1986,336,582,42.92035398230089,1986-04-28T00:00:00Z,118
1986,19,05/05/1986,298,880,64.89675516224189,1986-05-05T00:00:00Z,125
1986,20,12/05/1986,147,1027,75.73746312684366,1986-05-12T00:00:00Z,132
1986,21,19/05/1986,91,1118,82.44837758112095,1986-05-19T00:00:00Z,139
1986,22,26/05/1986,56,1174,86.57817109144543,1986-05-26T00:00:00Z,146
1986,23,03/06/1986,135,1309,96.53392330383481,1986-06-03T00:00:00Z,154
1986,24,10/06/1986,8,1317,97.12389380530973,1986-06-10T00:00:00Z,161
1986,25,19/06/1986,3,1320,97.34513274336283,1986-06-19T00:00:00Z,170
1986,26,25/06/1986,8,1328,97.93510324483776,1986-06-25T00:00:00Z,176
1986,27,01/07/1986,12,1340,98.82005899705014,1986-07-01T00:00:00Z,182
1986,28,07/07/1986,5,1345,99.18879056047197,1986-07-07T00:00:00Z,188
1986,29,15/07/1986,11,1356,100,1986-07-15T00:00:00Z,196
1987,14,01/04/1987,10,10,0.19190174630589138,1987-04-01T00:00:00Z,91
1987,15,06/04/1987,13,23,0.4413740165035502,1987-04-06T00:00:00Z,96
1987,16,13/04/1987,80,103,1.9765879869506815,1987-04-13T00:00:00Z,103
1987,17,20/04/1987,202,305,5.853003262329688,1987-04-20T00:00:00Z,110
1987,18,27/04/1987,771,1076,20.648627902513912,1987-04-27T00:00:00Z,117
1987,19,04/05/1987,1648,2724,52.274035693724805,1987-05-04T00:00:00Z,124
1987,20,11/05/1987,1025,3749,71.94396469007867,1987-05-11T00:00:00Z,131
1987,21,18/05/1987,966,4715,90.48167338322779,1987-05-18T00:00:00Z,138
1987,22,25/05/1987,320,5035,96.62252926501631,1987-05-25T00:00:00Z,145
