date,day,count,count_cpue_hours,year,month,week,dailyCountCum,dailyPercentageCum
2008-04-12,102,595,55.3,2008,4,15,1015,17.403978052126202
2008-04-13,103,452,41.1,2008,4,15,1467,25.154320987654323
2008-04-14,104,351,32.7,2008,4,15,1818,31.17283950617284
2008-04-15,105,104,10.4,2008,4,16,1922,32.95610425240055
2008-04-16,106,44,4.5,2008,4,16,1966,33.710562414266114
2008-04-17,107,34,3.8,2008,4,16,2000,34.29355281207133
2008-04-18,108,6,0.7,2008,4,16,2006,34.396433470507546
2008-04-19,109,123,12,2008,4,16,2129,36.50548696844993
2008-04-20,110,82,8,2008,4,16,2211,37.91152263374485
2008-04-21,111,196,19.1,2008,4,16,2407,41.27229080932784
2008-04-22,112,544,51.8,2008,4,17,2951,50.60013717421125
2008-04-23,113,639,60.9,2008,4,17,3590,61.55692729766804
2008-04-24,114,922,82,2008,4,17,4512,77.36625514403292
2008-04-25,115,1000,97.6,2008,4,17,5512,94.51303155006858
2008-04-26,116,320,32,2008,4,17,5832,100
2009-04-11,101,193,18.8,2009,4,15,193,2.532476053011416
2009-04-12,102,145,17.1,2009,4,15,338,4.43511350216507
2009-04-13,103,171,18.5,2009,4,15,509,6.678913528408345
2009-04-14,104,219,21.4,2009,4,15,728,9.552552158509382
2009-04-15,105,1066,92.7,2009,4,15,1794,23.540217819183834
2009-04-16,106,788,73.3,2009,4,16,2582,33.88006823251542
2009-04-17,107,442,47.8,2009,4,16,3024,39.67983204303897
2009-04-18,108,410,44.3,2009,4,16,3434,45.05970345099068
2009-04-19,109,256,27.7,2009,4,16,3690,48.41884267156541
2009-04-20,110,356,38.5,2009,4,16,4046,53.09014565017714
2009-04-21,111,628,62.8,2009,4,16,4674,61.33053405064952
2009-04-22,112,195,22.3,2009,4,16,4869,63.88925337882168
2009-04-23,113,250,27,2009,4,17,5119,67.16966277391418
2009-04-24,114,320,34.6,2009,4,17,5439,71.3685867996326
2009-04-25,115,622,62.2,2009,4,17,6061,79.53024537462275
2009-04-26,116,1560,164.2,2009,4,17,7621,100
2010-04-09,99,17,2.6,2010,4,15,17,0.4290762241292277
2010-04-10,100,29,3.9,2010,4,15,46,1.1610297829379101
2010-04-11,101,86,10.1,2010,4,15,132,3.331650681474003
2010-04-12,102,81,8.8,2010,4,15,213,5.376072690560323
2010-04-13,103,84,10.2,2010,4,15,297,7.496214033316506
2010-04-14,104,125,14.7,2010,4,15,422,10.651186269560828
2010-04-15,105,96,11.6,2010,4,15,518,13.074204946996467
2010-04-16,106,182,19.2,2010,4,16,700,17.6678445229682
2010-04-17,107,204,20.4,2010,4,16,904,22.81675921251893
2010-04-18,108,261,28.2,2010,4,16,1165,29.40434124179707
2010-04-19,109,360,35.1,2010,4,16,1525,38.49066128218072
2010-04-20,110,282,28.9,2010,4,16,1807,45.608278647147905
2010-04-21,111,46,5.6,2010,4,16,1853,46.769308430085815
2010-04-22,112,191,19.6,2010,4,16,2044,51.590106007067135
2010-04-23,113,159,15.9,2010,4,17,2203,55.60323069156992
2010-04-24,114,164,16,2010,4,17,2367,59.742554265522465
2010-04-25,115,347,34.7,2010,4,17,2714,68.50075719333671
2010-04-26,116,134,14.1,2010,4,17,2848,71.88288743059061
2010-04-27,117,148,15.2,2010,4,17,2996,75.61837455830388
2010-04-28,118,73,7.9,2010,4,17,3069,77.46087834427057
2010-04-29,119,240,25.3,2010,4,17,3309,83.51842503785967
2010-04-30,120,359,36.8,2010,4,18,3668,92.57950530035336
2010-05-01,121,294,28.7,2010,5,18,3962,100
2011-04-15,105,24,2.2,2011,4,15,24,0.594500866980431
2011-04-16,106,79,8.5,2011,4,16,103,2.55139955412435
2011-04-17,107,102,9.1,2011,4,16,205,5.078028238791181
2011-04-18,108,146,10.4,2011,4,16,351,8.694575179588803
2011-04-19,109,245,23.3,2011,4,16,596,14.763438196680703
2011-04-20,110,460,42.8,2011,4,16,1056,26.158038147138964
2011-04-21,111,203,18.5,2011,4,16,1259,31.186524647015112
2011-04-22,112,454,34.3,2011,4,16,1713,42.43249938072826
2011-04-23,113,304,31.2,2011,4,17,2017,49.962843695813724
2011-04-24,114,246,22.4,2011,4,17,2263,56.056477582363144
2011-04-25,115,486,48.6,2011,4,17,2749,68.09512013871687
2011-04-26,116,293,27.9,2011,4,17,3042,75.35298488976963
2011-04-27,117,491,47.9,2011,4,17,3533,87.51548179341096
2011-04-28,118,504,56,2011,4,17,4037,100
2012-04-13,103,197,21.9,2012,4,15,197,6.306017925736236
2012-04-14,104,1080,102.9,2012,4,15,1277,40.87708066581306
2012-04-15,105,411,44.4,2012,4,16,1688,54.03329065300896
2012-04-16,106,55,8.1,2012,4,16,1743,55.79385403329066
2012-04-17,107,573,63.7,2012,4,16,2316,74.13572343149808
2012-04-19,109,150,19.4,2012,4,16,2466,78.93725992317542
2012-04-20,110,115,16.4,2012,4,16,2581,82.61843790012804
2012-04-21,111,304,33.8,2012,4,16,2885,92.34955185659412
2012-04-22,112,189,21.6,2012,4,17,3074,98.39948783610755
2012-04-24,114,50,8,2012,4,17,3124,100
2013-04-11,101,24,2.7,2013,4,15,24,0.4788507581803671
2013-04-12,102,167,18.1,2013,4,15,191,3.8108539505187546
2013-04-13,103,102,10,2013,4,15,293,5.845969672785315
2013-04-14,104,138,14.2,2013,4,15,431,8.599361532322426
2013-04-15,105,110,12.6,2013,4,15,541,10.794094173982442
2013-04-16,106,13,1.7,2013,4,16,554,11.053471667996808
2013-04-17,107,91,10.1,2013,4,16,645,12.869114126097367
2013-04-18,108,30,4.3,2013,4,16,675,13.467677573822826
2013-04-19,109,61,8.1,2013,4,16,736,14.684756584197926
2013-04-20,110,36,5.3,2013,4,16,772,15.403032721468476
2013-04-21,111,37,5.9,2013,4,16,809,16.141260973663208
2013-04-22,112,1,0.2,2013,4,16,810,16.161213088587388
2013-04-23,113,47,4.7,2013,4,17,857,17.098962490023943
2013-04-24,114,41,4.1,2013,4,17,898,17.916999201915402
2013-04-25,115,50,5.6,2013,4,17,948,18.9146049481245
2013-04-26,116,202,20.7,2013,4,17,1150,22.94493216280926
2013-04-27,117,279,32.8,2013,4,17,1429,28.511572226656025
2013-04-28,118,265,27.2,2013,4,17,1694,33.798882681564244
2013-04-29,119,815,85.8,2013,4,17,2509,50.05985634477255
2013-04-30,120,483,49.5,2013,4,18,2992,59.69672785315243
2013-05-01,121,526,55.4,2013,5,18,3518,70.19154030327215
2013-05-02,122,561,59.1,2013,5,18,4079,81.38467677573823
2013-05-08,128,390,43.3,2013,5,19,4469,89.1660015961692
2013-05-09,129,290,30.5,2013,5,19,4759,94.95211492418196
2013-05-10,130,253,NA,2013,5,19,5012,100
2015-04-10,100,99,15.8,2015,4,15,99,2.2247191011235956
2015-04-11,101,95,15.2,2015,4,15,194,4.359550561797753
2015-04-14,104,551,59.6,2015,4,15,745,16.741573033707866
2015-04-15,105,410,43.9,2015,4,15,1155,25.955056179775283
2015-04-16,106,320,35.6,2015,4,16,1475,33.146067415730336
2015-04-17,107,82,13.1,2015,4,16,1557,34.98876404494382
2015-04-18,108,403,43.6,2015,4,16,1960,44.04494382022472
2015-04-19,109,530,55.8,2015,4,16,2490,55.955056179775276
2015-04-20,110,441,48.1,2015,4,16,2931,65.86516853932585
2015-04-21,111,513,57.5,2015,4,16,3444,77.3932584269663
2015-04-22,112,490,55,2015,4,16,3934,88.40449438202246
2015-04-23,113,516,58.4,2015,4,17,4450,100
2016-04-10,100,68,8.8,2016,4,15,68,1.689021361152509
2016-04-11,101,60,9.6,2016,4,15,128,3.1793343268753107
2016-04-14,104,10,1.7,2016,4,15,138,3.427719821162444
2016-04-22,112,292,33.1,2016,4,17,430,10.680576254346747
2016-04-23,113,403,45.2,2016,4,17,833,20.69051167411823
2016-04-24,114,286,32.4,2016,4,17,1119,27.794336810730254
2016-04-29,119,560,60.5,2016,4,18,1679,41.70392449080973
2016-04-30,120,341,42.6,2016,4,18,2020,50.173869846001
2016-05-01,121,58,9.8,2016,5,18,2078,51.61450571286637
2016-05-02,122,572,65.4,2016,5,18,2650,65.82215598609041
2016-05-03,123,599,76.5,2016,5,18,3249,80.70044709388972
2016-05-04,124,496,58.1,2016,5,18,3745,93.02036761053154
2016-05-05,125,281,34.4,2016,5,18,4026,100
2017-04-08,98,62,11.8,2017,4,14,62,2.9300567107750473
2017-04-09,99,16,3.4,2017,4,15,78,3.6862003780718333
2017-04-10,100,28,5.3,2017,4,15,106,5.00945179584121
2017-04-11,101,4,0.8,2017,4,15,110,5.198487712665406
2017-04-12,102,15,2.9,2017,4,15,125,5.9073724007561434
2017-04-13,103,55,9.6,2017,4,15,180,8.5066162570888455
2017-04-14,104,114,19.8,2017,4,15,294,13.894139886578449
2017-04-15,105,131,22.8,2017,4,15,425,20.08506616257089
2017-04-21,111,92,17.5,2017,4,16,517,24.43289224952741
2017-04-22,112,144,26.2,2017,4,16,661,31.238185255198488
2017-04-23,113,100,18.2,2017,4,17,761,35.9640831758034
2017-04-24,114,143,24.9,2017,4,17,904,42.722117202268436
2017-04-30,120,419,33.5,2017,4,18,1323,62.523629489603024
2017-05-01,121,589,65.4,2017,5,18,1912,90.35916824196597
2017-05-02,122,123,20.5,2017,5,18,2035,96.17202268431002
2017-05-03,123,7,1.3,2017,5,18,2042,96.50283553875236
2017-05-04,124,7,1.3,2017,5,18,2049,96.83364839319471
2017-05-06,126,3,0.5,2017,5,18,2052,96.97542533081285
2017-05-11,131,7,1.3,2017,5,19,2059,97.3062381852552
2017-05-15,135,39,6.8,2017,5,20,2098,99.14933837429112
2017-05-16,136,18,3.3,2017,5,20,2116,100
2018-03-26,85,0,0,2018,3,13,0,0
2018-03-27,86,4,0.5,2018,3,13,4,0.10103561505430665
2018-03-28,87,0,0,2018,3,13,4,0.10103561505430665
2018-04-10,100,21,4,2018,4,15,25,0.6314725940894165
2018-04-11,101,32,6.3,2018,4,15,57,1.4397575145238697
2018-04-15,105,210,22.7,2018,4,15,267,6.744127304874968
2018-04-16,106,210,22.3,2018,4,16,477,12.048497095226066
2018-04-17,107,244,26.4,2018,4,16,721,18.211669613538774
2018-04-18,108,244,26.8,2018,4,16,965,24.374842131851477
2018-04-19,109,277,30.5,2018,4,16,1242,31.37155847436221
2018-04-20,110,323,40.4,2018,4,16,1565,39.53018438999747
2018-04-21,111,303,36.7,2018,4,16,1868,47.1836322303612
2018-04-22,112,207,24.4,2018,4,16,2075,52.412225309421565
2018-04-23,113,6,1.2,2018,4,17,2081,52.56377873200303
2018-04-24,114,8,1.5,2018,4,17,2089,52.765849962111645
2018-04-27,117,1082,132.6,2018,4,17,3171,80.09598383430159
2018-04-28,118,276,32.5,2018,4,17,3447,87.06744127304876
2018-04-29,119,22,4,2018,4,17,3469,87.623137155847445
2018-04-30,120,14,2,2018,4,18,3483,87.9767618085375
2018-05-01,121,35,4.1,2018,5,18,3518,88.86082344026269
2018-05-02,122,441,43,2018,5,18,3959,100
2019-03-31,90,30,NA,2019,3,13,30,0.9478672985781991
2019-04-01,91,9,NA,2019,4,13,39,1.2322274881516588
2019-04-02,92,10,NA,2019,4,14,49,1.5481832543443919
2019-04-10,100,35,NA,2019,4,15,84,2.654028436018957
2019-04-15,105,0,NA,2019,4,15,84,2.654028436018957
2019-04-17,107,32,NA,2019,4,16,116,3.665086887835703
2019-04-18,108,129,NA,2019,4,16,245,7.740916271721959
2019-04-19,109,87,NA,2019,4,16,332,10.489731437598735
2019-04-20,110,169,NA,2019,4,16,501,15.829383886255924
2019-04-21,111,145,NA,2019,4,16,646,20.410742496050553
2019-04-22,112,84,NA,2019,4,16,730,23.06477093206951
2019-04-23,113,133,NA,2019,4,17,863,27.266982622432863
2019-04-24,114,149,NA,2019,4,17,1012,31.97472353870458
2019-04-25,115,378,NA,2019,4,17,1390,43.91785150078989
2019-04-26,116,282,NA,2019,4,17,1672,52.82780410742496
2019-04-27,117,233,NA,2019,4,17,1905,60.18957345971564
2019-04-28,118,297,NA,2019,4,17,2202,69.57345971563981
2019-04-29,119,185,NA,2019,4,17,2387,75.41864139020538
2019-04-30,120,114,NA,2019,4,18,2501,79.02053712480253
2019-05-01,121,262,NA,2019,5,18,2763,87.29857819905213
2019-05-02,122,179,NA,2019,5,18,2942,92.95418641390205
2019-05-07,127,58,NA,2019,5,19,3000,94.7867298578199
2019-05-08,128,165,NA,2019,5,19,3165,100
